Table S3. Mouse protein-protein interactions. From columns M to Q are reported the results of the M2H screen,,,,,,,,,,,,,,,,,
EdgeID,geneid1,geneid1symbol,geneid2,geneid2symbol,PubMed IDs,Number of PubMed hits,Methods,Databases,GOSemSim BP,Common Pathways,Gold Standard,Mouse 2x2,,,,,
MM020466:MM060406,20466,Sin3a,60406,Sap30,9702189,1,2 hybrid; anti tag coip; coip; pull down,IntAct-SS,1,,,,,,,,
MM011863:MM020464,11863,Arnt,20464,Sim1,9020169,1,2 hybrid; coip,IntAct-SS,0.848,,Yes,M222028F12:M222025E07;,M222025E07:M222012F12;,9.301514,6.588752;,9.301514;,
MM012914:MM020218,12914,Crebbp,20218,Khdrbs1,12496368,1,2 hybrid; coip; pull down,IntAct-SS,0.638,,Yes,,,,,,
MM019821:MM022658,19821,Rnf2,22658,Pcgf2,12183370,1,2 hybrid; fluorescence imaging; pull down; anti bait coip,IntAct-SS,0.707,,,,,,,,
MM015110:MM015110,15110,Hand1,15110,Hand1,10924525,1,2 hybrid; pull down,IntAct-SS,1,,Yes,,,,,,
MM015110:MM015111,15110,Hand1,15111,Hand2,10924525,1,2 hybrid; pull down,IntAct-SS,0.889,,Yes,,,,,,
MM015110:MM021423,15110,Hand1,21423,Tcfe2a,10924525,1,2 hybrid; pull down,IntAct-SS,0.623,,Yes,,,,,,
MM015111:MM021423,15111,Hand2,21423,Tcfe2a,10924525,1,2 hybrid; pull down,IntAct-SS,0.465,,Yes,,,,,,
MM019763:MM056353,19763,Ring1,56353,Rybp,10369680,1,2 hybrid; pull down; anti bait coip,IntAct-SS,0.552,,Yes,,,,,,
MM011622:MM011863,11622,Ahr,11863,Arnt,7488247; 9020169,2,2 hybrid; two hybrid,DIP; IntAct-SS,0.782,,Yes,,,,,,
MM018036:MM019697,18036,Nfkbib,19697,Rela,12686541; 15102471,2,2 hybrid; x-ray diffraction,IntAct-SS,,Reactome/Viral dsRNA:TLR3:TRIF Complex Activates RIP1; Reactome/Toll Like Receptor 3 (TLR3) Cascade; Reactome/Innate Immunity Signaling; Reactome/Signaling in Immune system; Reactome/Toll Receptor Cascades; Reactome/TRAF6 Mediated Induction of the antivir,Yes,,,,,,
MM018514:MM018771,18514,Pbx1,18771,Pknox1,17623278,1,affinity capture-ms,Biogrid,0.593,,Yes,M222026H07:M222015B01;M222024E09:M222015B01;M222018C11:M222015B01;,M222015B01:M222024E09;M222015B01:M222026H07;M222015B01:M222018C11;,25.79874,17.80795;17.93593;8.320577;,12.74448;13.41922;25.79874;,
MM018515:MM018771,18515,Pbx2,18771,Pknox1,17623278,1,affinity capture-ms,Biogrid,0.691,,Yes,M222015E03:M222015B01;,M222015B01:M222015E03;,20.32314,15.15362;,20.32314;,
MM018626:MM018627,18626,Per1,18627,Per2,14701732,1,affinity capture-western,Biogrid,0.978,,Yes,M222023A04:M222028C11;M222023A04:M222023G02;M222023A04:M222023B03;,M222023G02:M222023A04;,22.23211,10.68349;11.13022;9.580866;,22.23211;,
MM018033:MM433759,18033,Nfkb1,433759,Hdac1,11931769,1,affinity capture-western; anti bait coip,Biogrid; IntAct-SS,0.687,KEGG/Pathways in cancer - Mus musculus (mouse); Reactome/p75 NTR receptor-mediated signalling; Reactome/Signalling by NGF; KEGG/Chronic myeloid leukemia - Mus musculus (mouse),,,,,,,
MM019697:MM433759,19697,Rela,433759,Hdac1,11931769,1,affinity capture-western; anti bait coip,Biogrid; IntAct-SS,0.655,KEGG/Pathways in cancer - Mus musculus (mouse); Reactome/p75 NTR receptor-mediated signalling; Reactome/Signalling by NGF; KEGG/Chronic myeloid leukemia - Mus musculus (mouse),,,,,,,
MM022385:MM093762,22385,Baz1b,93762,Smarca5,11980720,1,affinity capture-western; anti bait coip,IntAct-SS; Biogrid,0.86,,,,,,,,
MM016826:MM072475,16826,Ldb2,72475,Ssbp3,17848518,1,anti bait coimmunoprecipitation,DIP,0.532,,Yes,,M222015H08:M222024F10;M222015H08:M222026H08;,511.6807,,177.0944;511.6807;,
MM012387:MM021416,12387,Ctnnb1,21416,Tcf7l2,10898789,1,anti bait coip,MINT,0.519,KEGG/Pathways in cancer - Mus musculus (mouse); KEGG/Basal cell carcinoma - Mus musculus (mouse); KEGG/Melanogenesis - Mus musculus (mouse); KEGG/Colorectal cancer - Mus musculus (mouse); KEGG/Endometrial cancer - Mus musculus (mouse); KEGG/Wnt signaling ,Yes,,,,,,
MM015183:MM018035,15183,Hdac3,18035,Nfkbia,16371367,1,anti bait coip,IntAct-SS,0.26,Reactome/p75 NTR receptor-mediated signalling; Reactome/Signalling by NGF,,,,,,,
MM015364:MM019645,15364,Hmga2,19645,Rb1,16766265,1,anti bait coip,IntAct-SS,0.697,,Yes,,,,,,
MM016150:MM054123,16150,Ikbkb,54123,Irf7,16612387,1,anti bait coip,IntAct-SS,0.41,KEGG/Toll-like receptor signaling pathway - Mus musculus (mouse),,,,,,,
MM016151:MM054123,16151,Ikbkg,54123,Irf7,16612387,1,anti bait coip,IntAct-SS,0.574,,Yes,,,,,,
MM017268:MM018514,17268,Meis1,18514,Pbx1,1037562,1,anti bait coip,MINT,0.664,,Yes,M222031D01:M222024E09;M222031D01:M222018C11;M222031D01:M222026H07;,M222024E09:M222031D01;M222026H07:M222031D01;,18.34822,11.22318;17.83285;18.34822;,11.57062;14.33521;,
MM019821:MM056353,19821,Rnf2,56353,Rybp,10369680,1,anti bait coip,IntAct-SS,0.626,,,,,,,,
MM022778:MM229615,22778,Zfpn1a1,229615,Pias3,15767674,1,anti bait coip,IntAct-SS,0.538,,Yes,,,,,,
MM068703:MM433759,68703,Rere,433759,Hdac1,14645126,1,anti bait coip,IntAct-SS,0.812,,,,,,,,
MM071828:MM071828,71828,Gtf2a1lf,71828,Gtf2a1lf,15927180,1,anti bait coip,MINT,1,,Yes,,,,,,
MM071828:MM083602,71828,Gtf2a1lf,83602,Gtf2a1,15927180,1,anti bait coip,MINT,1,KEGG/Basal transcription factors - Mus musculus (mouse),Yes,,,,,,
MM083602:MM083602,83602,Gtf2a1,83602,Gtf2a1,15927180,1,anti bait coip,MINT,1,,Yes,,,,,,
MM083602:MM237336,83602,Gtf2a1,237336,Tbpl1,15927180,1,anti bait coip,MINT,0.641,KEGG/Basal transcription factors - Mus musculus (mouse),Yes,,,,,,
MM011921:MM021423,11921,Atoh1,21423,Tcfe2a,17878293,1,anti tag coimmunoprecipitation,DIP,0.437,,Yes,,,,,,
MM012013:MM017134,12013,Bach1,17134,Mafg,19011633,1,anti tag coimmunoprecipitation,DIP,0.575,,Yes,,,,,,
MM012013:MM017135,12013,Bach1,17135,Mafk,19011633,1,anti tag coimmunoprecipitation,DIP,0.752,,Yes,,,,,,
MM012912:MM017927,12912,Creb1,17927,Myod1,12665587,1,anti tag coip,MINT,0.602,,Yes,,,,,,
MM014050:MM020475,14050,Eya3,20475,Six5,10490620,1,anti tag coip,IntAct-SS,0.859,,,,,,,,
MM016814:MM021885,16814,Lbx1,21885,Tle1,15528197,1,anti tag coip,IntAct-SS,0.558,,,,,,,,
MM020602:MM056233,20602,Ncor2,56233,Hdac7a,16956611,1,anti tag coip,MINT,0.748,,,,,,,,
MM016150:MM016150,16150,Ikbkb,16150,Ikbkb,16319058,1,anti tag coip; protein kinase assay,IntAct-SS,1,,,,,,,,
MM012387:MM019127,12387,Ctnnb1,19127,Prop1,16678101,1,anti tag coip; pull down,IntAct-SS,0.64,,,,,,,,
MM014463:MM016468,14463,Gata4,16468,Jarid2,15542826,1,anti tag coip; pull down,IntAct-SS,0.691,,,,,,,,
MM016468:MM018091,16468,Jarid2,18091,Nkx2-5,15542826,1,anti tag coip; pull down,IntAct-SS,0.764,,Yes,,,,,,
MM017701:MM056702,17701,Msx1,56702,Hist1h1b,15192231,1,anti tag coip; pull down,IntAct-SS,0.386,,,,,,,,
MM020375:MM053610,20375,Sfpi1,53610,Nono,8626664,1,anti tag coip; pull down,IntAct-SS,0.557,,,,,,,,
MM014463:MM018091,14463,Gata4,18091,Nkx2-5,9584153; 12845333,2,anti tag coip; pull down; anti bait coip,IntAct-SS,0.761,,,,,,,,
MM012151:MM012151,12151,Pcgf4,12151,Pcgf4,9571155,1,biophysical,DIP,1,,,,,,,,
MM014281:MM014815,14281,Fos,14815,Nr3c1,2169352,1,coimmunoprecipitation,DIP,0.55,,Yes,,,,,,
MM014281:MM016477,14281,Fos,16477,Junb,2498083,1,coimmunoprecipitation,DIP,0.665,,Yes,,,,,,
MM014282:MM016476,14282,Fosb,16476,Jun,2498083,1,coimmunoprecipitation,DIP,0.774,,,,,,,,
MM014282:MM016477,14282,Fosb,16477,Junb,2498083,1,coimmunoprecipitation,DIP,0.629,,,,,,,,
MM014815:MM016476,14815,Nr3c1,16476,Jun,2169352,1,coimmunoprecipitation,DIP,0.553,,Yes,,,,,,
MM013134:MM014050,13134,Dach1,14050,Eya3,14628042,1,coip,IntAct-SS,0.859,,,,,,,,
MM014265:MM014359,14265,Fmr1,14359,Fxr1h,12581522,1,coip,MINT,0.476,,,,,,,,
MM015182:MM060406,15182,Hdac2,60406,Sap30,9702189,1,coip,IntAct-SS,0.759,,Yes,,,,,,
MM019646:MM060406,19646,Rbbp4,60406,Sap30,9702189,1,coip,IntAct-SS,0.759,,Yes,,,,,,
MM060406:MM433759,60406,Sap30,433759,Hdac1,9702189,1,coip,IntAct-SS,0.851,,,,,,,,
MM013433:MM433759,13433,Dnmt1,433759,Hdac1,10615135,1,coip; pull down,IntAct-SS,0.675,,,,,,,,
MM016151:MM016151,16151,Ikbkg,16151,Ikbkg,18216269,1,cosedimentation in solution,DIP,1,,Yes,M222021E06:M222021E06;M222021D06:M222021E06;M222021D06:M222021D06;M222021E06:M222021D06;,M222021E06:M222021E06;M222021D06:M222021E06;M222021D06:M222021D06;M222021E06:M222021D06;,9.12031,3.234017;4.089121;6.318438;9.12031;,3.234017;4.089121;6.318438;9.12031;,
MM018424:MM018424,18424,Otx2,18424,Otx2,15890343,1,experimental interac,MINT,1,,Yes,,,,,,
MM012914:MM017132,12914,Crebbp,17132,Maf,14742445,1,fluorescence imaging,MINT,0.748,,Yes,,,,,,
MM013626:MM014056,13626,Eed,14056,Ezh2,9742080; 17937919; 12900441,3,fluorescence imaging; pull down; two hybrid,MINT; DIP; IntAct-SS,0.599,,Yes,,,,,,
MM017187:MM017869,17187,Max,17869,Myc,1840505,1,genetic interference,DIP,0.388,KEGG/Pathways in cancer - Mus musculus (mouse); KEGG/Small cell lung cancer - Mus musculus (mouse); KEGG/MAPK signaling pathway - Mus musculus (mouse),Yes,,M222013C10:M222011C12;,12.50058,,12.50058;,
MM014375:MM022596,14375,Xrcc6,22596,Xrcc5,14681455,1,inferred by curator,IntAct-SS,0.751,Reactome/Double-Strand Break Repair; Reactome/DNA Repair; Reactome/Processing of DNA ends prior to end rejoining; Reactome/Nonhomologous End-joining (NHEJ); KEGG/Non-homologous end-joining - Mus musculus (mouse),,,,,,,
MM012387:MM016842,12387,Ctnnb1,16842,Lef1,16293619,1,itc,IntAct-SS,0.696,KEGG/Pathways in cancer - Mus musculus (mouse); KEGG/Basal cell carcinoma - Mus musculus (mouse); KEGG/Melanogenesis - Mus musculus (mouse); KEGG/Colorectal cancer - Mus musculus (mouse); KEGG/Endometrial cancer - Mus musculus (mouse); KEGG/Wnt signaling ,Yes,,,,,,
MM011350:MM011350,11350,Abl1,11350,Abl1,15632178,1,kinase spa,IntAct-SS,1,,,,,,,,
MM011634:MM011634,11634,Aire,11634,Aire,11533054,1,molecular sieving; biochemical,IntAct-SS,1,,,,,,,,
MM013555:MM017984,13555,E2f1,17984,Ndn,12198120,1,phenotypic suppression; reconstituted complex; affinity capture-western,Biogrid,0.567,,Yes,,,,,,
MM012227:MM018983,12227,Btg2,18983,Cnot7,18337750,1,pull down,MINT,0.568,,Yes,,M222020G09:M222029A02;,38.24818,,38.24818;,
MM013134:MM015183,13134,Dach1,15183,Hdac3,12130660,1,pull down,IntAct-SS,0.654,,,,,,,,
MM013134:MM020185,13134,Dach1,20185,Ncor1,12130660,1,pull down,IntAct-SS,0.8,,,,,,,,
MM013134:MM020466,13134,Dach1,20466,Sin3a,12130660,1,pull down,IntAct-SS,0.826,,,,,,,,
MM013134:MM020476,13134,Dach1,20476,Six6,12130660,1,pull down,IntAct-SS,0.839,,,,,,,,
MM015111:MM015111,15111,Hand2,15111,Hand2,10924525,1,pull down,IntAct-SS,1,,Yes,,,,,,
MM015111:MM015213,15111,Hand2,15213,Hey1,10924525,1,pull down,IntAct-SS,0.739,,Yes,,,,,,
MM020185:MM020466,20185,Ncor1,20466,Sin3a,9702189,1,pull down,IntAct-SS,0.863,,,,,,,,
MM020185:MM060406,20185,Ncor1,60406,Sap30,9702189,1,pull down,IntAct-SS,0.945,,,,,,,,
MM020185:MM093837,20185,Ncor1,93837,Dach2,12130660,1,pull down,IntAct-SS,0.758,,,,,,,,
MM020467:MM060406,20467,Sin3b,60406,Sap30,9702189,1,pull down,IntAct-SS,0.945,,Yes,,,,,,
MM069790:MM069790,69790,Thrap6,69790,Thrap6,12584197,1,pull down,IntAct-SS,1,,Yes,,,,,,
MM016969:MM433759,16969,Zbtb7a,433759,Hdac1,15337766,1,pull down; anti bait coip,IntAct-SS,0.77,,,,,,,,
MM014797:MM020476,14797,Aes,20476,Six6,12050133,1,reconstituted complex,Biogrid,0.686,,Yes,,,,,,
MM015903:MM021413,15903,Id3,21413,Tcf4,8759016,1,reconstituted complex,Biogrid,0.805,,Yes,,M222014A11:M222011C10;,5.301298,,5.301298;,
MM014797:MM020473,14797,Aes,20473,Six3,12050133,1,reconstituted complex; two-hybrid,Biogrid,0.754,,Yes,,,,,,
MM015242:MM016476,15242,Hhex,16476,Jun,11551904,1,reconstituted complex; two-hybrid,Biogrid,0.571,,Yes,,,,,,
MM017125:MM243833,17125,Smad1,243833,Zfp128,12370310,1,reconstituted complex; two-hybrid,Biogrid,0.526,,Yes,,,,,,
MM013016:MM014013,13016,Ctbp1,14013,Evi1,11328817,1,two hybrid,MINT,0.369,KEGG/Pathways in cancer - Mus musculus (mouse); KEGG/Chronic myeloid leukemia - Mus musculus (mouse),,,,,,,
MM016392:MM016825,16392,Isl1,16825,Ldb1,18583962,1,two hybrid,MINT,0.503,,Yes,M222015F06:M222019D01;M222015F06:M222026D09;M222015F06:M222024A11;,,40.56721,33.86917;35.23141;40.56721;,,
MM017119:MM020467,17119,Mxd1,20467,Sin3b,7889570,1,two hybrid,DIP,0.948,,Yes,,,,,,
MM022025:MM268903,22025,Nr2c1,268903,Nrip1,17187077,1,two hybrid,DIP,0.697,,Yes,,,,,,
MM012395:MM015901,12395,Runx1t1,15901,Id1,11591653,1,two hybrid array,IntAct-SS,0.498,,Yes,M222023B12:M222026D01;M222025D04:M222026D01;,,7.8278,6.277009;7.8278;,,
MM012395:MM015903,12395,Runx1t1,15903,Id3,11591653,1,two hybrid array,IntAct-SS,0.627,,Yes,M222023B12:M222011C10;M222025D04:M222011C10;M222019G09:M222011C10;,,9.200679,7.359568;7.454093;9.200679;,,
MM015902:MM021413,15902,Id2,21413,Tcf4,11591653,1,two hybrid array,IntAct-SS,0.79,,Yes,,,,,,
MM016876:MM066970,16876,Lhx9,66970,Ssbp2,11591653,1,two hybrid array,IntAct-SS,0.566,,Yes,M222018E09:M222024B01;,M222024B01:M222026A07;M222024B01:M222024E08;M222024G08:M222018E09;M222024G08:M222024E08;M222024G08:M222026A07;M222015F09:M222024E08;M222015F09:M222026A07;M222015F09:M222018E09;M222024B01:M222018E09;,51.71108,3.295016;,14.0819;16.55087;24.62683;28.07815;34.96001;38.78259;44.93971;51.71108;8.824781;,
MM068776:MM099730,68776,Taf11,99730,Taf13,11591653,1,two hybrid array,IntAct-SS,0.938,Reactome/RNA Polymerase II Transcription Initiation And Promoter Clearance; Reactome/RNA Polymerase II Promoter Escape; Reactome/RNA Polymerase II Transcription Pre-Initiation; Reactome/RNA Polymerase II Transcription Initiation; Reactome/RNA Polymerase I,Yes,M222016B01:M222018G01;,M222018G01:M222016B01;,88.18131,75.46167;,88.18131;,
MM015901:MM021423,15901,Id1,21423,Tcfe2a,11591653,1,two hybrid array; two hybrid,MINT; IntAct-SS,0.54,,Yes,,,,,,
MM015902:MM021423,15902,Id2,21423,Tcfe2a,11591653,1,two hybrid array; two hybrid,MINT; IntAct-SS,0.489,,Yes,,,,,,
MM021412:MM021423,21412,Tcf21,21423,Tcfe2a,11591653,1,two hybrid array; two hybrid,MINT; IntAct-SS,0.698,,Yes,,,,,,
MM069716:MM069716,69716,Trip13,69716,Trip13,11591653,1,two hybrid array; two hybrid,MINT; IntAct-SS,,,Yes,M222021B08:M222021B08;,M222021B08:M222021B08;,43.66378,43.66378;,43.66378;,
MM015251:MM017984,15251,Hif1a,17984,Ndn,15978586,1,two hybrid pooling,MINT,0.569,,Yes,,,,,,
MM012387:MM067087,12387,Ctnnb1,67087,Ctnnbip1,10898789,1,two hybrid pooling; affinity capture-western; pull down,MINT; Biogrid,0.534,KEGG/Wnt signaling pathway - Mus musculus (mouse),,,,,,,
MM015405:MM016476,15405,Hoxa9,16476,Jun,11551904,1,two-hybrid,Biogrid,0.613,,Yes,,,,,,
MM015426:MM016476,15426,Hoxc8,16476,Jun,11551904,1,two-hybrid,Biogrid,0.612,,Yes,,,,,,
MM014281:MM016476,14281,Fos,16476,Jun,1631061,1,two-hybrid; two hybrid,DIP; Biogrid,0.801,KEGG/Pathways in cancer - Mus musculus (mouse); KEGG/MAPK signaling pathway - Mus musculus (mouse); KEGG/Toll-like receptor signaling pathway - Mus musculus (mouse); KEGG/Colorectal cancer - Mus musculus (mouse); KEGG/B cell receptor signaling pathway - M,Yes,,,,,,
MM016476:MM016476,16476,Jun,16476,Jun,1631061,1,two-hybrid; two hybrid,DIP; Biogrid,1,,Yes,,,,,,
MM015405:MM018514,15405,Hoxa9,18514,Pbx1,12923056,1,x-ray,MINT,0.7,,Yes,M222026B05:M222018C11;M222024H05:M222024E09;M222018D06:M222024E09;M222026B05:M222024E09;,,6.165612,3.09352;3.163296;3.484266;6.165612;,,
MM014390:MM014391,14390,Gabpa,14391,Gabpb1,9461436,1,x-ray; x-ray crystallography,MINT; DIP,0.828,,Yes,,,,,,
MM011545:MM012616,11545,Parp1,12616,Cenpb,,0,,,0.447,,,,,,,,
MM011568:MM018022,11568,Aebp1,18022,Nfe2,,0,,,0.582,,,,M222012G02:M222012B12;M222012G02:M222012C12;,7.655177,,3.775118;7.655177;,
MM011568:MM229004,11568,Aebp1,229004,Gmeb2,,0,,,0.677,,,,M222025E03:M222012B12;,6.148265,,6.148265;,
MM011622:MM011632,11622,Ahr,11632,Aip,,0,,,0.484,,,M222017H09:M222020C12;,,81.30669,81.30669;,,
MM011694:MM081703,11694,Alx3,81703,Jundm2,,0,,,0.728,,,,M222018B03:M222011H01;M222024D02:M222011H01;,3.986998,,3.944218;3.986998;,
MM011695:MM011695,11695,Alx4,11695,Alx4,,0,,,1,,,M222019C03:M222024C12;M222026C10:M222026C10;M222026C10:M222024C12;M222026C10:M222019C03;M222019C03:M222019C03;M222024C12:M222024C12;M222024C12:M222026C10;,M222019C03:M222024C12;M222026C10:M222026C10;M222026C10:M222024C12;M222026C10:M222019C03;M222019C03:M222019C03;M222024C12:M222024C12;M222024C12:M222026C10;,18.25238,10.36392;12.48462;18.25238;7.045438;8.081131;9.238648;9.379608;,10.36392;12.48462;18.25238;7.045438;8.081131;9.238648;9.379608;,
MM011695:MM012590,11695,Alx4,12590,Cdx1,,0,,,0.854,,,,M222031D04:M222019C03;M222031D04:M222026C10;M222031D04:M222024C12;,5.193703,,4.523224;4.73433;5.193703;,
MM011695:MM012591,11695,Alx4,12591,Cdx2,,0,,,0.847,,,,M222011G03:M222026C10;M222011G03:M222024C12;M222011G03:M222019C03;,5.963802,,4.67264;5.434629;5.963802;,
MM011695:MM012592,11695,Alx4,12592,Cdx4,,0,,,0.881,,,,M222029F04:M222024C12;M222029F04:M222026C10;M222029F04:M222019C03;,7.088782,,3.809857;4.270412;7.088782;,
MM011695:MM013390,11695,Alx4,13390,Dlx1,,0,,,0.771,,,M222019C03:M222024H04;M222019C03:M222026D04;,M222024H04:M222019C03;M222026D04:M222019C03;,5.594356,5.54662;5.594356;,4.28583;4.696405;,
MM011695:MM013392,11695,Alx4,13392,Dlx2,,0,,,0.813,,,,M222013H02:M222019C03;M222013H02:M222024C12;M222013H02:M222026C10;,7.800751,,6.471663;7.733123;7.800751;,
MM011695:MM013395,11695,Alx4,13395,Dlx5,,0,,,0.769,,,M222026C10:M222018G07;,M222018G07:M222024C12;,3.174163,3.115788;,3.174163;,
MM011695:MM014106,11695,Alx4,14106,Foxh1,,0,,,0.779,,,,M222019E03:M222024C12;M222019E03:M222019C03;,4.304998,,3.010354;4.304998;,
MM011695:MM015375,11695,Alx4,15375,Foxa1,,0,,,0.67,,,,M222031D05:M222019C03;M222031D05:M222026C10;,5.409068,,3.521811;5.409068;,
MM011695:MM015395,11695,Alx4,15395,Hoxa10,,0,,,0.909,,,,M222031F05:M222019C03;M222031F05:M222026C10;,3.954267,,3.099013;3.954267;,
MM011695:MM015396,11695,Alx4,15396,Hoxa11,,0,,,0.862,,,,M222013B07:M222024C12;M222013B07:M222019C03;,4.873563,,3.312115;4.873563;,
